scar_rank,vor_rank,rank_delta,key,name,pos,pick,scar_v,vor_v,vor_over_scar,vor_mixed_v
1,1,0,harry-sheezel,Harry Sheezel,SF,3,10079,12154,1.2059,12154
2,2,0,nick-daicos,Nick Daicos,MID,4,9214,10951,1.1885,10951
3,3,0,luke-jackson,Luke Jackson,RUCK,3,8735,10305,1.1797,10305
4,4,0,nasiah-wanganeen-milera,Nasiah Wanganeen-Milera,SD,11,8375,9797,1.1698,9797
5,5,0,max-holmes,Max Holmes,MID,21,7452,8558,1.1484,8558
6,6,0,tristan-xerri,Tristan Xerri,RUCK,71,7414,8524,1.1497,8524
7,7,0,zak-butters,Zak Butters,MID,12,6473,7219,1.1152,7219
8,8,0,will-ashcroft,Will Ashcroft,MID,2,6380,7167,1.1234,7167
9,9,0,josh-treacy,Josh Treacy,KPF,4,6157,6815,1.1069,6815
10,10,0,bailey-smith,Bailey Smith,MID,7,6092,6732,1.1051,6732
11,11,0,lachlan-ash,Lachlan Ash,SD,4,5682,6278,1.1049,6278
12,12,0,finn-callaghan,Finn Callaghan,MID,3,5592,6170,1.1034,6170
13,13,0,jason-horne-francis,Jason Horne-Francis,SF,1,5554,6097,1.0978,6097
14,14,0,errol-gulden,Errol Gulden,MID,34,5511,6044,1.0967,6044
15,15,0,noah-anderson,Noah Anderson,MID,2,5257,5698,1.0839,5698
16,16,0,sam-darcy,Sam Darcy,KPF,2,4929,5299,1.0751,5299
17,17,0,caleb-serong,Caleb Serong,MID,8,4811,5149,1.0703,5149
18,19,-1,tom-green,Tom Green,MID,10,4682,4989,1.0656,4989
19,18,1,archie-roberts,Archie Roberts,SD,54,4675,5001,1.0697,5001
20,20,0,jagga-smith,Jagga Smith,SF,3,4573,4954,1.0833,4954
21,21,0,willem-duursma,Willem Duursma,MID,1,4498,4863,1.0811,4863
22,22,0,brodie-grundy,Brodie Grundy,RUCK,22,4481,4675,1.0433,4675
23,23,0,murphy-reid,Murphy Reid,SF,17,4305,4541,1.0548,4541
24,24,0,jai-newcombe,Jai Newcombe,MID,2,4286,4521,1.0548,4521
25,25,0,marcus-bontempelli,Marcus Bontempelli,MID,4,4278,4417,1.0325,4417
26,26,0,riley-thilthorpe,Riley Thilthorpe,KPF,2,4164,4371,1.0497,4371
27,27,0,sam-lalor,Sam Lalor,SF,1,4102,4367,1.0646,4367
28,29,-1,nick-blakey,Nick Blakey,SD,10,4094,4266,1.042,4266
29,28,1,colby-mckercher,Colby McKercher,SD,2,4073,4366,1.0719,4366
30,32,-2,mac-andrew,Mac Andrew,KPD,5,4054,4175,1.0298,4175
31,30,1,jake-bowey,Jake Bowey,SD,22,4048,4222,1.043,4222
32,31,1,matt-rowell,Matt Rowell,MID,1,4046,4191,1.0358,4191
33,33,0,noah-mraz,Noah Mraz,KPD,35,4006,4147,1.0352,4157
34,34,0,kysaiah-pickett,Kysaiah Pickett,SF,12,3943,4076,1.0337,4076
35,35,0,bodhi-uwland,Bodhi Uwland,SD,,3883,4043,1.0412,4043
36,36,0,ed-richards,Ed Richards,MID,16,3845,3941,1.025,3941
37,37,0,josh-worrell,Josh Worrell,SD,28,3783,3910,1.0336,3910
38,38,0,jordan-clark,Jordan Clark,SD,15,3777,3889,1.0297,3889
39,41,-2,timothy-english,Timothy English,RUCK,19,3776,3864,1.0233,3864
40,39,1,darcy-wilmot,Darcy Wilmot,SD,16,3739,3880,1.0377,3880
41,43,-2,nick-watson,Nick Watson,SF,5,3710,3854,1.0388,3854
42,42,0,sam-berry,Sam Berry,MID,29,3702,3861,1.0429,3861
43,46,-3,callum-wilkie,Callum Wilkie,KPD,1,3699,3686,0.9965,3686
44,40,4,ryley-sanders,Ryley Sanders,SF,6,3686,3879,1.0524,3879
45,44,1,harley-reid,Harley Reid,MID,1,3663,3778,1.0314,3778
46,47,-1,isaac-heeney,Isaac Heeney,MID,4,3637,3667,1.0082,3667
47,45,2,chad-warner,Chad Warner,SF,38,3624,3724,1.0276,3724
48,48,0,nicholas-martin,Nicholas Martin,SF,,3573,3661,1.0246,3661
49,50,-1,luke-davies-uniacke,Luke Davies-Uniacke,MID,4,3550,3598,1.0135,3598
50,52,-2,jordan-dawson,Jordan Dawson,MID,55,3502,3513,1.0031,3513
51,49,2,finn-o-sullivan,Finn O'Sullivan,SD,2,3449,3637,1.0545,3637
52,54,-2,max-gawn,Max Gawn,RUCK,33,3426,3400,0.9924,3400
53,55,-2,jack-sinclair,Jack Sinclair,SD,1,3408,3397,0.9968,3397
54,53,1,darcy-wilson,Darcy Wilson,SF,18,3407,3476,1.0203,3476
55,51,4,levi-ashcroft,Levi Ashcroft,MID,5,3405,3590,1.0543,3590
56,57,-1,sam-walsh,Sam Walsh,MID,1,3296,3295,0.9997,3295
57,56,1,george-wardlaw,George Wardlaw,MID,4,3215,3326,1.0345,3326
58,60,-2,zac-bailey,Zac Bailey,SF,15,3207,3175,0.99,3175
59,61,-2,andrew-brayshaw,Andrew Brayshaw,MID,2,3187,3164,0.9928,3164
60,58,2,logan-morris,Logan Morris,KPF,31,3158,3226,1.0215,3226
61,59,2,sullivan-robey,Sullivan Robey,SF,9,3122,3216,1.0301,3216
62,64,-2,izak-rankine,Izak Rankine,SF,3,3063,3029,0.9889,3029
63,62,1,sam-cumming,Sam Cumming,MID,7,3047,3153,1.0348,3153
64,63,1,hugo-garcia,Hugo Garcia,MID,50,3038,3103,1.0214,3103
65,65,0,connor-o-sullivan,Connor O'Sullivan,KPD,11,2974,2978,1.0013,2978
66,66,0,will-day,Will Day,MID,13,2966,2962,0.9987,2962
67,68,-1,connor-rozee,Connor Rozee,SD,5,2930,2895,0.9881,2895
68,67,1,joel-freijah,Joel Freijah,SF,45,2891,2913,1.0076,2913
69,69,0,connor-macdonald,Connor MacDonald,SF,26,2869,2844,0.9913,2844
70,72,-2,zachary-merrett,Zachary Merrett,MID,26,2823,2726,0.9656,2726
71,71,0,zeke-uwland,Zeke Uwland,SD,2,2769,2732,0.9866,2732
72,70,2,josh-ward,Josh Ward,MID,7,2749,2765,1.0058,2765
73,73,0,sam-durham,Sam Durham,SF,9,2710,2681,0.9893,2681
74,78,-4,christian-petracca,Christian Petracca,SF,2,2702,2609,0.9656,2609
75,75,0,jaspa-fletcher,Jaspa Fletcher,SD,12,2683,2657,0.9903,2657
76,76,0,jacob-farrow,Jacob Farrow,SD,10,2666,2632,0.9872,2632
77,81,-4,clayton-oliver,Clayton Oliver,MID,4,2636,2526,0.9583,2526
78,74,4,dyson-sharp,Dyson Sharp,SF,13,2621,2661,1.0153,2661
79,77,2,daniel-curtin,Daniel Curtin,MID,8,2609,2625,1.0061,2625
80,80,0,jack-ross,Jack Ross,SF,43,2602,2530,0.9723,2530
81,83,-2,jordon-sweet,Jordon Sweet,RUCK,14,2576,2483,0.9639,2483
82,79,3,harry-dean,Harry Dean,KPD,3,2567,2535,0.9875,2535
83,82,1,kieren-briggs,Kieren Briggs,RUCK,34,2544,2491,0.9792,2491
84,86,-2,max-hall,Max Hall,SF,4,2542,2446,0.9622,2446
85,87,-2,jack-ginnivan,Jack Ginnivan,SF,8,2504,2433,0.9716,2433
86,88,-2,bailey-williams-wc,Bailey J. Williams,KPF,35,2493,2425,0.9727,2425
87,89,-2,connor-idun,Connor Idun,SD,61,2490,2412,0.9687,2412
88,84,4,harvey-langford,Harvey Langford,MID,6,2470,2480,1.004,2480
89,93,-4,tim-taranto,Tim Taranto,MID,2,2465,2338,0.9485,2338
90,92,-2,josh-lindsay,Josh Lindsay,SD,19,2463,2367,0.961,2367
91,85,6,mattaes-phillipou,Mattaes Phillipou,SF,10,2462,2447,0.9939,2447
92,91,1,reuben-ginbey,Reuben Ginbey,SD,9,2458,2380,0.9683,2380
93,94,-1,shai-bolton,Shai Bolton,SF,29,2444,2312,0.946,2312
94,95,-1,bailey-dale,Bailey Dale,SD,45,2439,2306,0.9455,2306
95,90,5,bailey-humphrey,Bailey Humphrey,SF,6,2394,2386,0.9967,2386
96,98,-2,touk-miller,Touk Miller,SF,29,2370,2220,0.9367,2220
97,96,1,shannon-neale,Shannon Neale,KPF,35,2357,2268,0.9622,2268
98,100,-2,lachie-neale,Lachie Neale,MID,66,2353,2202,0.9358,2202
99,105,-6,rowan-marshall,Rowan Marshall,KPF,8,2291,2156,0.9411,2156
100,101,-1,justin-mcinerney,Justin McInerney,SF,44,2284,2180,0.9545,2180
101,99,2,jase-burgoyne,Jase Burgoyne,SD,60,2281,2217,0.9719,2217
102,112,-10,josh-battle,Josh Battle,KPD,39,2273,2110,0.9283,2110
103,110,-7,callum-mills,Callum Mills,SD,3,2272,2130,0.9375,2130
104,107,-3,josh-daicos,Josh Daicos,SD,57,2268,2144,0.9453,2144
105,102,3,tom-powell,Tom Powell,SF,13,2262,2175,0.9615,2175
106,97,9,taj-hotton,Taj Hotton,SF,12,2245,2230,0.9933,2230
107,115,-8,lachie-whitfield,Lachie Whitfield,SD,1,2232,2073,0.9288,2073
108,108,0,harvey-thomas,Harvey Thomas,SF,59,2217,2140,0.9653,2140
109,106,3,tanner-bruhn,Tanner Bruhn,SD,12,2214,2147,0.9697,2147
110,104,6,ollie-dempsey,Ollie Dempsey,MID,7,2211,2161,0.9774,2161
111,114,-3,sam-flanders,Sam Flanders,SF,11,2208,2100,0.9511,2100
112,117,-5,john-noble,John Noble,SD,8,2201,2056,0.9341,2056
113,120,-7,toby-nankervis,Toby Nankervis,RUCK,35,2197,2042,0.9294,2042
114,113,1,marcus-windhager,Marcus Windhager,SD,47,2189,2108,0.963,2108
115,103,12,xavier-lindsay,Xavier Lindsay,SD,11,2184,2163,0.9904,2163
116,116,0,jake-soligo,Jake Soligo,SF,36,2164,2069,0.9561,2069
117,118,-1,josh-rachele,Josh Rachele,SF,6,2150,2052,0.9544,2052
118,109,9,samuel-grlj,Samuel Grlj,SD,8,2142,2134,0.9963,2134
119,119,0,cooper-trembath,Cooper Trembath,KPF,9,2140,2044,0.9551,2044
120,121,-1,ned-moyle,Ned Moyle,RUCK,5,2119,2034,0.9599,2034
